;co2_vec
jan/59;315.42
fev/59;316.31
mar/59;316.5
abr/59;317.56
mai/59;318.13
jun/59;318
jul/59;316.39
ago/59;314.65
set/59;313.68
out/59;313.18
nov/59;314.66
dez/59;315.43
jan/60;316.27
fev/60;316.81
mar/60;317.42
abr/60;318.87
mai/60;319.87
jun/60;319.43
jul/60;318.01
ago/60;315.74
set/60;314
out/60;313.68
nov/60;314.84
dez/60;316.03
jan/61;316.73
fev/61;317.54
mar/61;318.38
abr/61;319.31
mai/61;320.42
jun/61;319.61
jul/61;318.42
ago/61;316.63
set/61;314.83
out/61;315.16
nov/61;315.94
dez/61;316.85
jan/62;317.78
fev/62;318.4
mar/62;319.53
abr/62;320.42
mai/62;320.85
jun/62;320.45
jul/62;319.45
ago/62;317.25
set/62;316.11
out/62;315.27
nov/62;316.53
dez/62;317.53
jan/63;318.58
fev/63;318.92
mar/63;319.7
abr/63;321.22
mai/63;322.08
jun/63;321.31
jul/63;319.58
ago/63;317.61
set/63;316.05
out/63;315.83
nov/63;316.91
dez/63;318.2
jan/64;319.41
fev/64;320.07
mar/64;320.74
abr/64;321.4
mai/64;322.06
jun/64;321.73
jul/64;320.27
ago/64;318.54
set/64;316.54
out/64;316.71
nov/64;317.53
dez/64;318.55
jan/65;319.27
fev/65;320.28
mar/65;320.73
abr/65;321.97
mai/65;322
jun/65;321.71
jul/65;321.05
ago/65;318.71
set/65;317.66
out/65;317.14
nov/65;318.7
dez/65;319.25
jan/66;320.46
fev/66;321.43
mar/66;322.23
abr/66;323.54
mai/66;323.91
jun/66;323.59
jul/66;322.24
ago/66;320.2
set/66;318.48
out/66;317.94
nov/66;319.63
dez/66;320.87
jan/67;322.17
fev/67;322.34
mar/67;322.88
abr/67;324.25
mai/67;324.83
jun/67;323.93
jul/67;322.38
ago/67;320.76
set/67;319.1
out/67;319.24
nov/67;320.56
dez/67;321.8
jan/68;322.4
fev/68;322.99
mar/68;323.73
abr/68;324.86
mai/68;325.4
jun/68;325.2
jul/68;323.98
ago/68;321.95
set/68;320.18
out/68;320.09
nov/68;321.16
dez/68;322.74
jan/69;323.83
fev/69;324.26
mar/69;325.47
abr/69;326.5
mai/69;327.21
jun/69;326.54
jul/69;325.72
ago/69;323.5
set/69;322.22
out/69;321.62
nov/69;322.69
dez/69;323.95
jan/70;324.89
fev/70;325.82
mar/70;326.77
abr/70;327.97
mai/70;327.91
jun/70;327.5
jul/70;326.18
ago/70;324.53
set/70;322.93
out/70;322.9
nov/70;323.85
dez/70;324.96
jan/71;326.01
fev/71;326.51
mar/71;327.01
abr/71;327.62
mai/71;328.76
jun/71;328.4
jul/71;327.2
ago/71;325.27
set/71;323.2
out/71;323.4
nov/71;324.63
dez/71;325.85
jan/72;326.6
fev/72;327.47
mar/72;327.58
abr/72;329.56
mai/72;329.9
jun/72;328.92
jul/72;327.88
ago/72;326.16
set/72;324.68
out/72;325.04
nov/72;326.34
dez/72;327.39
jan/73;328.37
fev/73;329.4
mar/73;330.14
abr/73;331.33
mai/73;332.31
jun/73;331.9
jul/73;330.7
ago/73;329.15
set/73;327.35
out/73;327.02
nov/73;327.99
dez/73;328.48
jan/74;329.18
fev/74;330.55
mar/74;331.32
abr/74;332.48
mai/74;332.92
jun/74;332.08
jul/74;331.01
ago/74;329.23
set/74;327.27
out/74;327.21
nov/74;328.29
dez/74;329.41
jan/75;330.23
fev/75;331.25
mar/75;331.87
abr/75;333.14
mai/75;333.8
jun/75;333.43
jul/75;331.73
ago/75;329.9
set/75;328.4
out/75;328.17
nov/75;329.32
dez/75;330.59
jan/76;331.58
fev/76;332.39
mar/76;333.33
abr/76;334.41
mai/76;334.71
jun/76;334.17
jul/76;332.89
ago/76;330.77
set/76;329.14
out/76;328.78
nov/76;330.14
dez/76;331.52
jan/77;332.75
fev/77;333.24
mar/77;334.53
abr/77;335.9
mai/77;336.57
jun/77;336.1
jul/77;334.76
ago/77;332.59
set/77;331.42
out/77;330.98
nov/77;332.24
dez/77;333.68
jan/78;334.8
fev/78;335.22
mar/78;336.47
abr/78;337.59
mai/78;337.84
jun/78;337.72
jul/78;336.37
ago/78;334.51
set/78;332.6
out/78;332.38
nov/78;333.75
dez/78;334.78
jan/79;336.05
fev/79;336.59
mar/79;337.79
abr/79;338.71
mai/79;339.3
jun/79;339.12
jul/79;337.56
ago/79;335.92
set/79;333.75
out/79;333.7
nov/79;335.12
dez/79;336.56
jan/80;337.84
fev/80;338.19
mar/80;339.91
abr/80;340.6
mai/80;341.29
jun/80;341
jul/80;339.39
ago/80;337.43
set/80;335.72
out/80;335.84
nov/80;336.93
dez/80;338.04
jan/81;339.06
fev/81;340.3
mar/81;341.21
abr/81;342.33
mai/81;342.74
jun/81;342.08
jul/81;340.32
ago/81;338.26
set/81;336.52
out/81;336.68
nov/81;338.19
dez/81;339.44
jan/82;340.57
fev/82;341.44
mar/82;342.53
abr/82;343.39
mai/82;343.96
jun/82;343.18
jul/82;341.88
ago/82;339.65
set/82;337.81
out/82;337.69
nov/82;339.09
dez/82;340.32
jan/83;341.2
fev/83;342.35
mar/83;342.93
abr/83;344.77
mai/83;345.58
jun/83;345.14
jul/83;343.81
ago/83;342.21
set/83;339.69
out/83;339.82
nov/83;340.98
dez/83;342.82
jan/84;343.52
fev/84;344.33
mar/84;345.11
abr/84;346.88
mai/84;347.25
jun/84;346.62
jul/84;345.22
ago/84;343.11
set/84;340.9
out/84;341.18
nov/84;342.8
dez/84;344.04
jan/85;344.79
fev/85;345.82
mar/85;347.25
abr/85;348.17
mai/85;348.74
jun/85;348.07
jul/85;346.38
ago/85;344.51
set/85;342.92
out/85;342.62
nov/85;344.06
dez/85;345.38
jan/86;346.11
fev/86;346.78
mar/86;347.68
abr/86;349.37
mai/86;350.03
jun/86;349.37
jul/86;347.76
ago/86;345.73
set/86;344.68
out/86;343.99
nov/86;345.48
dez/86;346.72
jan/87;347.84
fev/87;348.29
mar/87;349.23
abr/87;350.8
mai/87;351.66
jun/87;351.07
jul/87;349.33
ago/87;347.92
set/87;346.27
out/87;346.18
nov/87;347.64
dez/87;348.78
jan/88;350.25
fev/88;351.54
mar/88;352.05
abr/88;353.41
mai/88;354.04
jun/88;353.62
jul/88;352.22
ago/88;350.27
set/88;348.55
out/88;348.72
nov/88;349.91
dez/88;351.18
jan/89;352.6
fev/89;352.92
mar/89;353.53
abr/89;355.26
mai/89;355.52
jun/89;354.97
jul/89;353.75
ago/89;351.52
set/89;349.64
out/89;349.83
nov/89;351.14
dez/89;352.37
jan/90;353.5
fev/90;354.55
mar/90;355.23
abr/90;356.04
mai/90;357
jun/90;356.07
jul/90;354.67
ago/90;352.76
set/90;350.82
out/90;351.04
nov/90;352.69
dez/90;354.07
jan/91;354.59
fev/91;355.63
mar/91;357.03
abr/91;358.48
mai/91;359.22
jun/91;358.12
jul/91;356.06
ago/91;353.92
set/91;352.05
out/91;352.11
nov/91;353.64
dez/91;354.89
jan/92;355.88
fev/92;356.63
mar/92;357.72
abr/92;359.07
mai/92;359.58
jun/92;359.17
jul/92;356.94
ago/92;354.92
set/92;352.94
out/92;353.23
nov/92;354.09
dez/92;355.33
jan/93;356.63
fev/93;357.1
mar/93;358.32
abr/93;359.41
mai/93;360.23
jun/93;359.55
jul/93;357.53
ago/93;355.48
set/93;353.67
out/93;353.95
nov/93;355.3
dez/93;356.78
jan/94;358.34
fev/94;358.89
mar/94;359.95
abr/94;361.25
mai/94;361.67
jun/94;360.94
jul/94;359.55
ago/94;357.49
set/94;355.84
out/94;356
nov/94;357.59
dez/94;359.05
jan/95;359.98
fev/95;361.03
mar/95;361.66
abr/95;363.48
mai/95;363.82
jun/95;363.3
jul/95;361.94
ago/95;359.5
set/95;358.11
out/95;357.8
nov/95;359.61
dez/95;360.74
jan/96;362.09
fev/96;363.29
mar/96;364.06
abr/96;364.76
mai/96;365.45
jun/96;365.01
jul/96;363.7
ago/96;361.54
set/96;359.51
out/96;359.65
nov/96;360.8
dez/96;362.38
jan/97;363.23
fev/97;364.06
mar/97;364.61
abr/97;366.4
mai/97;366.84
jun/97;365.68
jul/97;364.52
ago/97;362.57
set/97;360.24
out/97;360.83
nov/97;362.49
dez/97;364.34
